UV_1_A, UV_1_B, UV_1_COMP_1, UV_1_COMP_2, UV_1_INDEX, UV_2_A, UV_2_B, UV_2_COMP_1, UV_2_COMP_2, UV_2_INDEX, UV_3_A, UV_3_B, UV_3_COMP_1, UV_3_COMP_2, UV_3_INDEX, UV_4_A, UV_4_B, UV_4_COMP_4, UV_4_COMP_4, UV_4_INDEX, ALTITUDE, TEMP, TIMESTAMP  
 UV_1_A 0.00,UV_1_B 0.00,UV_1_COMP1 0,UV_1_COMP2 0,UV_1_INDEX 0.00,UV_2_A 0.00,UV_2_B 0.00,UV_2_COMP1 0,UV_2_COMP2 0,UV_2_INDEX 0.00,UV_3_A 1.00,UV_3_B 3.00,UV_3_COMP1 0,UV_3_COMP2 0,UV_3_INDEX 0.00,UV_4_A 0.00,UV_4_B 0.00,UV_4_COMP1 0,UV_4_COMP2 0,UV_4_INDEX 0.00,Altitude1790.81, Temp71.37, timestamp26928
 UV_1_A 1.00,UV_1_B 0.00,UV_1_COMP1 0,UV_1_COMP2 0,UV_1_INDEX 0.00,UV_2_A 0.00,UV_2_B 0.00,UV_2_COMP1 0,UV_2_COMP2 0,UV_2_INDEX 0.00,UV_3_A 1.00,UV_3_B 2.00,UV_3_COMP1 0,UV_3_COMP2 0,UV_3_INDEX 0.00,UV_4_A 0.00,UV_4_B 0.00,UV_4_COMP1 0,UV_4_COMP2 0,UV_4_INDEX 0.00,Altitude1790.88, Temp71.37, timestamp27689
 UV_1_A 1.00,UV_1_B 0.00,UV_1_COMP1 0,UV_1_COMP2 0,UV_1_INDEX 0.00,UV_2_A 0.00,UV_2_B 0.00,UV_2_COMP1 0,UV_2_COMP2 0,UV_2_INDEX 0.00,UV_3_A 1.00,UV_3_B 2.00,UV_3_COMP1 0,UV_3_COMP2 0,UV_3_INDEX 0.00,UV_4_A 0.00,UV_4_B 0.00,UV_4_COMP1 0,UV_4_COMP2 0,UV_4_INDEX 0.00,Altitude1791.00, Temp71.37, timestamp28451
 UV_1_A 0.00,UV_1_B 0.00,UV_1_COMP1 0,UV_1_COMP2 0,UV_1_INDEX 0.00,UV_2_A 0.00,UV_2_B 0.00,UV_2_COMP1 0,UV_2_COMP2 0,UV_2_INDEX 0.00,UV_3_A 1.00,UV_3_B 2.00,UV_3_COMP1 0,UV_3_COMP2 0,UV_3_INDEX 0.00,UV_4_A 0.00,UV_4_B 0.00,UV_4_COMP1 0,UV_4_COMP2 0,UV_4_INDEX 0.00,Altitude1790.75, Temp71.37, timestamp29212
 UV_1_A 0.00,UV_1_B 0.00,UV_1_COMP1 0,UV_1_COMP2 0,UV_1_INDEX 0.00,UV_2_A 0.00,UV_2_B 0.00,UV_2_COMP1 0,UV_2_COMP2 0,UV_2_INDEX 0.00,UV_3_A 1.00,UV_3_B 2.00,UV_3_COMP1 0,UV_3_COMP2 0,UV_3_INDEX 0.00,UV_4_A 0.00,UV_4_B 0.00,UV_4_COMP1 0,UV_4_COMP2 0,UV_4_INDEX 0.00,Altitude1791.13, Temp71.37, timestamp29973
 UV_1_A 0.00,UV_1_B 0.00,UV_1_COMP1 0,UV_1_COMP2 0,UV_1_INDEX 0.00,UV_2_A 0.00,UV_2_B 0.00,UV_2_COMP1 0,UV_2_COMP2 0,UV_2_INDEX 0.00,UV_3_A 0.00,UV_3_B 2.00,UV_3_COMP1 0,UV_3_COMP2 0,UV_3_INDEX 0.00,UV_4_A 0.00,UV_4_B 0.00,UV_4_COMP1 0,UV_4_COMP2 0,UV_4_INDEX 0.00,Altitude1791.00, Temp71.37, timestamp30735
 UV_1_A 0.00,UV_1_B 0.00,UV_1_COMP1 0,UV_1_COMP2 0,UV_1_INDEX 0.00,UV_2_A 0.00,UV_2_B 0.00,UV_2_COMP1 0,UV_2_COMP2 0,UV_2_INDEX 0.00,UV_3_A 1.00,UV_3_B 2.00,UV_3_COMP1 0,UV_3_COMP2 0,UV_3_INDEX 0.00,UV_4_A 0.00,UV_4_B 0.00,UV_4_COMP1 0,UV_4_COMP2 0,UV_4_INDEX 0.00,Altitude1790.88, Temp71.37, timestamp31496
 UV_1_A 3.00,UV_1_B 3.00,UV_1_COMP1 0,UV_1_COMP2 0,UV_1_INDEX 0.00,UV_2_A 0.00,UV_2_B 0.00,UV_2_COMP1 0,UV_2_COMP2 0,UV_2_INDEX 0.00,UV_3_A 1.00,UV_3_B 4.00,UV_3_COMP1 0,UV_3_COMP2 0,UV_3_INDEX 0.00,UV_4_A 0.00,UV_4_B 0.00,UV_4_COMP1 0,UV_4_COMP2 0,UV_4_INDEX 0.00,Altitude1791.44, Temp71.37, timestamp32258
 UV_1_A 6.00,UV_1_B 6.00,UV_1_COMP1 0,UV_1_COMP2 0,UV_1_INDEX 0.01,UV_2_A 0.00,UV_2_B 0.00,UV_2_COMP1 0,UV_2_COMP2 0,UV_2_INDEX 0.00,UV_3_A 1.00,UV_3_B 3.00,UV_3_COMP1 0,UV_3_COMP2 0,UV_3_INDEX 0.00,UV_4_A 0.00,UV_4_B 0.00,UV_4_COMP1 0,UV_4_COMP2 0,UV_4_INDEX 0.00,Altitude1790.81, Temp71.37, timestamp33019
 UV_1_A 5.00,UV_1_B 6.00,UV_1_COMP1 0,UV_1_COMP2 0,UV_1_INDEX 0.01,UV_2_A 0.00,UV_2_B 0.00,UV_2_COMP1 0,UV_2_COMP2 0,UV_2_INDEX 0.00,UV_3_A 1.00,UV_3_B 3.00,UV_3_COMP1 0,UV_3_COMP2 0,UV_3_INDEX 0.00,UV_4_A 0.00,UV_4_B 0.00,UV_4_COMP1 0,UV_4_COMP2 0,UV_4_INDEX 0.00,Altitude1791.19, Temp71.37, timestamp33780
 UV_1_A 5.00,UV_1_B 6.00,UV_1_COMP1 0,UV_1_COMP2 0,UV_1_INDEX 0.01,UV_2_A 0.00,UV_2_B 0.00,UV_2_COMP1 0,UV_2_COMP2 0,UV_2_INDEX 0.00,UV_3_A 1.00,UV_3_B 3.00,UV_3_COMP1 0,UV_3_COMP2 0,UV_3_INDEX 0.00,UV_4_A 0.00,UV_4_B 0.00,UV_4_COMP1 0,UV_4_COMP2 0,UV_4_INDEX 0.00,Altitude1791.25, Temp71.37, timestamp34542
 UV_1_A 5.00,UV_1_B 5.00,UV_1_COMP1 0,UV_1_COMP2 0,UV_1_INDEX 0.01,UV_2_A 0.00,UV_2_B 0.00,UV_2_COMP1 0,UV_2_COMP2 0,UV_2_INDEX 0.00,UV_3_A 1.00,UV_3_B 3.00,UV_3_COMP1 0,UV_3_COMP2 0,UV_3_INDEX 0.00,UV_4_A 0.00,UV_4_B 0.00,UV_4_COMP1 0,UV_4_COMP2 0,UV_4_INDEX 0.00,Altitude1791.25, Temp71.37, timestamp35304
 UV_1_A 5.00,UV_1_B 5.00,UV_1_COMP1 0,UV_1_COMP2 0,UV_1_INDEX 0.01,UV_2_A 0.00,UV_2_B 0.00,UV_2_COMP1 0,UV_2_COMP2 0,UV_2_INDEX 0.00,UV_3_A 1.00,UV_3_B 4.00,UV_3_COMP1 0,UV_3_COMP2 0,UV_3_INDEX 0.00,UV_4_A 0.00,UV_4_B 0.00,UV_4_COMP1 0,UV_4_COMP2 0,UV_4_INDEX 0.00,Altitude1791.13, Temp71.37, timestamp36065
 UV_1_A 5.00,UV_1_B 6.00,UV_1_COMP1 0,UV_1_COMP2 0,UV_1_INDEX 0.01,UV_2_A 0.00,UV_2_B 0.00,UV_2_COMP1 0,UV_2_COMP2 0,UV_2_INDEX 0.00,UV_3_A 2.00,UV_3_B 3.00,UV_3_COMP1 0,UV_3_COMP2 0,UV_3_INDEX 0.00,UV_4_A 0.00,UV_4_B 0.00,UV_4_COMP1 0,UV_4_COMP2 0,UV_4_INDEX 0.00,Altitude1791.19, Temp71.37, timestamp36827
 ,,,,,,,,,,,,,,,,,,,,,,
