UV_1_A, UV_1_B, UV_1_COMP_1, UV_1_COMP_2, UV_1_INDEX, UV_2_A, UV_2_B, UV_2_COMP_1, UV_2_COMP_2, UV_2_INDEX, UV_3_A, UV_3_B, UV_3_COMP_1, UV_3_COMP_2, UV_3_INDEX, UV_4_A, UV_4_B, UV_4_COMP_4, UV_4_COMP_4, UV_4_INDEX, ALTITUDE, TEMP, TIMESTAMP  
 UV_1_A 0.00,UV_1_B 0.00,UV_1_COMP1 0,UV_1_COMP2 0,UV_1_INDEX 0.00,UV_2_A 0.00,UV_2_B 0.00,UV_2_COMP1 0,UV_2_COMP2 0,UV_2_INDEX 0.00,UV_3_A 2.00,UV_3_B 3.00,UV_3_COMP1 0,UV_3_COMP2 0,UV_3_INDEX 0.00,UV_4_A 0.00,UV_4_B 0.00,UV_4_COMP1 0,UV_4_COMP2 0,UV_4_INDEX 0.00,Altitude1790.44, Temp71.26, timestamp5616
 UV_1_A 1.00,UV_1_B 0.00,UV_1_COMP1 0,UV_1_COMP2 0,UV_1_INDEX 0.00,UV_2_A 0.00,UV_2_B 0.00,UV_2_COMP1 0,UV_2_COMP2 0,UV_2_INDEX 0.00,UV_3_A 1.00,UV_3_B 3.00,UV_3_COMP1 0,UV_3_COMP2 0,UV_3_INDEX 0.00,UV_4_A 0.00,UV_4_B 0.00,UV_4_COMP1 0,UV_4_COMP2 0,UV_4_INDEX 0.00,Altitude1790.31, Temp71.26, timestamp6376
 UV_1_A 0.00,UV_1_B 0.00,UV_1_COMP1 0,UV_1_COMP2 0,UV_1_INDEX 0.00,UV_2_A 0.00,UV_2_B 0.00,UV_2_COMP1 0,UV_2_COMP2 0,UV_2_INDEX 0.00,UV_3_A 1.00,UV_3_B 3.00,UV_3_COMP1 0,UV_3_COMP2 0,UV_3_INDEX 0.00,UV_4_A 0.00,UV_4_B 0.00,UV_4_COMP1 0,UV_4_COMP2 0,UV_4_INDEX 0.00,Altitude1789.88, Temp71.26, timestamp7137
 UV_1_A 1.00,UV_1_B 0.00,UV_1_COMP1 0,UV_1_COMP2 0,UV_1_INDEX 0.00,UV_2_A 0.00,UV_2_B 0.00,UV_2_COMP1 0,UV_2_COMP2 0,UV_2_INDEX 0.00,UV_3_A 1.00,UV_3_B 3.00,UV_3_COMP1 0,UV_3_COMP2 0,UV_3_INDEX 0.00,UV_4_A 0.00,UV_4_B 0.00,UV_4_COMP1 0,UV_4_COMP2 0,UV_4_INDEX 0.00,Altitude1790.75, Temp71.26, timestamp7897
 UV_1_A 1.00,UV_1_B 0.00,UV_1_COMP1 0,UV_1_COMP2 0,UV_1_INDEX 0.00,UV_2_A 0.00,UV_2_B 0.00,UV_2_COMP1 0,UV_2_COMP2 0,UV_2_INDEX 0.00,UV_3_A 1.00,UV_3_B 3.00,UV_3_COMP1 0,UV_3_COMP2 0,UV_3_INDEX 0.00,UV_4_A 0.00,UV_4_B 0.00,UV_4_COMP1 0,UV_4_COMP2 0,UV_4_INDEX 0.00,Altitude1790.50, Temp71.26, timestamp8657
 UV_1_A 1.00,UV_1_B 0.00,UV_1_COMP1 0,UV_1_COMP2 0,UV_1_INDEX 0.00,UV_2_A 0.00,UV_2_B 0.00,UV_2_COMP1 0,UV_2_COMP2 0,UV_2_INDEX 0.00,UV_3_A 1.00,UV_3_B 3.00,UV_3_COMP1 0,UV_3_COMP2 0,UV_3_INDEX 0.00,UV_4_A 0.00,UV_4_B 0.00,UV_4_COMP1 0,UV_4_COMP2 0,UV_4_INDEX 0.00,Altitude1790.56, Temp71.26, timestamp9418
 UV_1_A 0.00,UV_1_B 0.00,UV_1_COMP1 0,UV_1_COMP2 0,UV_1_INDEX 0.00,UV_2_A 0.00,UV_2_B 0.00,UV_2_COMP1 0,UV_2_COMP2 0,UV_2_INDEX 0.00,UV_3_A 2.00,UV_3_B 2.00,UV_3_COMP1 0,UV_3_COMP2 0,UV_3_INDEX 0.00,UV_4_A 0.00,UV_4_B 0.00,UV_4_COMP1 0,UV_4_COMP2 0,UV_4_INDEX 0.00,Altitude1790.19, Temp71.26, timestamp10178
 UV_1_A 0.00,UV_1_B 0.00,UV_1_COMP1 0,UV_1_COMP2 0,UV_1_INDEX 0.00,UV_2_A 0.00,UV_2_B 0.00,UV_2_COMP1 0,UV_2_COMP2 0,UV_2_INDEX 0.00,UV_3_A 2.00,UV_3_B 3.00,UV_3_COMP1 0,UV_3_COMP2 0,UV_3_INDEX 0.00,UV_4_A 0.00,UV_4_B 0.00,UV_4_COMP1 0,UV_4_COMP2 0,UV_4_INDEX 0.00,Altitude1790.56, Temp71.26, timestamp10939
 UV_1_A 0.00,UV_1_B 0.00,UV_1_COMP1 0,UV_1_COMP2 0,UV_1_INDEX 0.00,UV_2_A 0.00,UV_2_B 0.00,UV_2_COMP1 0,UV_2_COMP2 0,UV_2_INDEX 0.00,UV_3_A 1.00,UV_3_B 3.00,UV_3_COMP1 0,UV_3_COMP2 0,UV_3_INDEX 0.00,UV_4_A 0.00,UV_4_B 0.00,UV_4_COMP1 0,UV_4_COMP2 0,UV_4_INDEX 0.00,Altitude1790.63, Temp71.26, timestamp11701
 UV_1_A 0.00,UV_1_B 0.00,UV_1_COMP1 0,UV_1_COMP2 0,UV_1_INDEX 0.00,UV_2_A 0.00,UV_2_B 0.00,UV_2_COMP1 0,UV_2_COMP2 0,UV_2_INDEX 0.00,UV_3_A 1.00,UV_3_B 2.00,UV_3_COMP1 0,UV_3_COMP2 0,UV_3_INDEX 0.00,UV_4_A 0.00,UV_4_B 0.00,UV_4_COMP1 0,UV_4_COMP2 0,UV_4_INDEX 0.00,Altitude1790.25, Temp71.26, timestamp12462
